fecha;descripcion;ambito;id_mun;mun
01/01/2020;Año Nuevo;estatal;;
06/01/2020;Día de Reyes;estatal;;
19/03/2020;San José;autonómico;;
09/04/2020;Jueves Santo;autonómico;;
10/04/2020;Viernes Santo;estatal;;
01/05/2020;Fiesta del Trabajo;estatal;;
24/06/2020;San Juán;autonómico;;
25/07/2020;Santiago Apóstol;autonómico;;
15/08/2020;Asunción de la Virgen;estatal;;
12/10/2020;Fiesta Nacional de España;estatal;;
08/12/2020;Inmaculada Concepción;estatal;;
25/12/2020;Navidad;estatal;;
25/02/2020;Martes de Entroido;Local;15001;Abegondo
29/06/2020;festa de San Pedro;Local;15001;Abegondo
25/02/2020;Martes de Entroido;Local;15002;Ames
21/05/2020;festa da Ascensión;Local;15002;Ames
25/02/2020;Martes de Entroido;Local;15003;Aranga
10/08/2020;festa de San Lourenzo;Local;15003;Aranga
26/02/2020;Mércores de Cinza;Local;15004;Ares
02/06/2020;Voto de Chanteiro;Local;15004;Ares
25/02/2020;Martes de Entroido;Local;15005;Arteixo
16/09/2020;festa de Santa Eufemia;Local;15005;Arteixo
13/04/2020;Luns de Pascua;Local;15006;Arzúa
16/07/2020;festa da Virxe do Carme;Local;15006;Arzúa
22/01/2020;festa de San Vicente;Local;15007;Baña, A
09/09/2020;festa da Virxe das Dores;Local;15007;Baña, A
25/02/2020;Martes de Entroido;Local;15008;Bergondo
17/08/2020;festa local de Bergondo;Local;15008;Bergondo
25/02/2020;Martes de Entroido;Local;15009;Betanzos
18/08/2020;festa local de Betanzos;Local;15009;Betanzos
25/02/2020;Martes de Entroido;Local;15010;Boimorto
07/09/2020;festas do Rosario;Local;15010;Boimorto
16/07/2020;festa da Virxe do Carme;Local;15011;Boiro
31/08/2020;festa de San Ramón;Local;15011;Boiro
22/01/2020;festa de San Vicente;Local;15012;Boqueixón
21/05/2020;festa da Ascensión;Local;15012;Boqueixón
13/04/2020;Luns de Pascua;Local;15013;Brión
21/05/2020;festa da Ascensión;Local;15013;Brión
25/02/2020;Martes de Entroido;Local;15014;Cabana de Bergantiños
01/08/2020;festa de San Fins;Local;15014;Cabana de Bergantiños
25/02/2020;Martes de Entroido;Local;15015;Cabanas
30/11/2020;festa de Santo André;Local;15015;Cabanas
23/04/2020;Día de San Xurxo;Local;15016;Camariñas
16/07/2020;Día da Virxe do Carme;Local;15016;Camariñas
25/02/2020;Martes de Entroido;Local;15017;Cambre
17/08/2020;festa local de Cambre;Local;15017;Cambre
25/02/2020;Martes de Entroido;Local;15018;Capela, A
05/08/2020;mércores festas patronais;Local;15018;Capela, A
